随机过程,周四8:00,时间,案例名称,时间
随机过程,三教,地点,案例名称,地点
随机过程,举手,学生行为,案例名称,学生行为1
随机过程,低头,学生行为,案例名称,学生行为2
随机过程,授课,老师行为,案例名称,老师行为
随机过程,88,课堂检测分数,案例名称,课堂检测分数
学术英语读写,周四10:05,时间,案例名称,时间
学术英语读写,东教,地点,案例名称,地点
学术英语读写,认真听讲,学生行为,案例名称,学生行为1
学术英语读写,交头接耳,学生行为,案例名称,学生行为2
学术英语读写,引导讨论,老师行为,案例名称,老师行为
学术英语读写,75,课堂检测分数,案例名称,课堂检测分数
最优化方法,周二10:00,时间,案例名称,时间
最优化方法,三教,地点,案例名称,地点
最优化方法,挠头,学生行为,案例名称,学生行为1
最优化方法,看手机,学生行为,案例名称,学生行为2
最优化方法,巡视教室,老师行为,案例名称,老师行为
最优化方法,82,课堂检测分数,案例名称,课堂检测分数
人工神经网络,周一13:30,时间,案例名称,时间
人工神经网络,东教,地点,案例名称,地点
人工神经网络,注视黑板,学生行为,案例名称,学生行为1
人工神经网络,站立,学生行为,案例名称,学生行为2
人工神经网络,课件展示,老师行为,案例名称,老师行为
人工神经网络,90,课堂检测分数,案例名称,课堂检测分数
工程伦理,周一18:30,时间,案例名称,时间
工程伦理,东教,地点,案例名称,地点
工程伦理,举手,学生行为,案例名称,学生行为1
工程伦理,认真听讲,学生行为,案例名称,学生行为2
工程伦理,提问同学,老师行为,案例名称,老师行为
工程伦理,85,课堂检测分数,案例名称,课堂检测分数
高阶数理逻辑,周二10:05,时间,案例名称,时间
高阶数理逻辑,东教,地点,案例名称,地点
高阶数理逻辑,趴桌子,学生行为,案例名称,学生行为1
高阶数理逻辑,挠头,学生行为,案例名称,学生行为2
高阶数理逻辑,来回走动,老师行为,案例名称,老师行为
高阶数理逻辑,78,课堂检测分数,案例名称,课堂检测分数
语义WEB与知识图谱,周二15:30,时间,案例名称,时间
语义WEB与知识图谱,东教,地点,案例名称,地点
语义WEB与知识图谱,交头接耳,学生行为,案例名称,学生行为1
语义WEB与知识图谱,低头,学生行为,案例名称,学生行为2
语义WEB与知识图谱,提问同学,老师行为,案例名称,老师行为
语义WEB与知识图谱,92,课堂检测分数,案例名称,课堂检测分数
新中国特色社会主义理论与实践,周五10:30,时间,案例名称,时间
新中国特色社会主义理论与实践,东教,地点,案例名称,地点
新中国特色社会主义理论与实践,看手机,学生行为,案例名称,学生行为1
新中国特色社会主义理论与实践,低头,学生行为,案例名称,学生行为2
新中国特色社会主义理论与实践,写板书,老师行为,案例名称,老师行为
新中国特色社会主义理论与实践,80,课堂检测分数,案例名称,课堂检测分数
矩阵理论,周一13:30,时间,案例名称,时间
矩阵理论,三教,地点,案例名称,地点
矩阵理论,注视黑板,学生行为,案例名称,学生行为1
矩阵理论,认真听讲,学生行为,案例名称,学生行为2
矩阵理论,双手比划,老师行为,案例名称,老师行为
矩阵理论,87,课堂检测分数,案例名称,课堂检测分数
社会原理与调查方法,周三15:30,时间,案例名称,时间
社会原理与调查方法,三教,地点,案例名称,地点
社会原理与调查方法,站立,学生行为,案例名称,学生行为1
社会原理与调查方法,交头接耳,学生行为,案例名称,学生行为2
社会原理与调查方法,巡视教室,老师行为,案例名称,老师行为
社会原理与调查方法,93,课堂检测分数,案例名称,课堂检测分数
