userId,rating,knowledgeId,name
1,0.5,1,输入
1,3.0,2,算法效率
1,3.0,3,顺序存储
1,5.0,4,后序线索二叉树
1,2.5,5,双亲表示法
1,4.0,6,栈的基本操作
1,3.5,7,层次遍历
1,1.0,8,检索
1,4.0,9,二叉平衡树
1,3.5,10,多路归并排序
1,4.0,11,散列函数的构造方法
1,3.5,12,希尔排序
1,1.0,13,插入
1,3.5,14,图的存储
1,1.0,15,数据结构
1,2.5,16,无向图
1,5.0,17,关键路径
1,4.0,18,树
1,5.0,19,Dijkstra算法
1,2.5,20,稀疏图
1,2.5,21,路径
1,4.0,22,线性探测法
1,2.5,23,有向图
1,2.5,24,多维数组
1,3.0,25,强连通图
1,3.5,26,B+树
1,4.0,27,栈
1,3.0,28,定长顺序存储
1,2.5,29,多重图
1,2.5,30,连通图
1,4.0,31,顺序栈
1,3.0,32,权
1,1.5,33,块链存储
1,3.5,34,孩子表示法
1,3.5,35,邻接多重表
1,2.0,36,存储结构
1,1.0,37,算法
1,3.0,38,顺序表的删除
1,5.0,39,二叉排序树的构造
1,3.5,40,AOE网
1,2.5,41,关键字
1,3.5,42,再散列法
1,3.0,43,处理冲突的方法
1,3.0,44,单链表的定义
1,3.0,45,链栈
1,1.5,46,网
1,5.0,47,后序遍历
1,3.0,48,除留余数法
1,3.0,49,串
1,1.0,5,无序树
1,2.0,51,完全图
1,5.0,52,图的遍历
1,3.0,53,线性表的基本操作
1,5.0,54,哈夫曼编码
1,4.0,55,散列函数
1,2.0,56,简单回路
1,5.0,57,哈夫曼树的定义
1,5.0,58,哈夫曼树的构造
1,4.0,59,堆分配存储
1,3.5,60,双链表的基本操作
1,3.5,61,链式队列的基本操作
1,5.0,62,最短路径
1,4.0,63,散列表
1,0.5,64,删除
1,4.0,65,KMP算法
1,2.0,66,广义表
1,5.0,67,中序遍历
1,5.0,68,二叉排序树
1,2.0,69,连通
1,2.0,70,有序树
1,5.0,71,二叉排序树的删除
1,2.0,72,外部排序
1,5.0,73,Prim算法
1,3.0,74,循环链表
1,3.5,75,双端队列
1,5.0,76,哈夫曼树
1,3.5,77,简单选择排序
1,5.0,78,二叉树的链式存储结构
1,1.0,79,确定性
1,2.0,80,压缩存储
1,2.5,81,连通分量
1,3.5,82,交换排序
1,3.0,83,单链表
1,1.0,84,更新
1,3.5,85,结点的高度
1,4.0,86,结点的度
1,3.5,87,回路
1,2.0,88,指针数组
1,2.5,89,图的定义
1,5.0,90,平衡二叉树
1,5.0,91,平衡二叉树的查找
1,3.0,92,顺序表
1,2.5,93,循环双链表
1,3.5,94,归并排序
1,3.5,95,初始化线性表
